Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Comoros,,,,,,,,,,,,,,,,,,,,,8.7,11.76,15.69,19.83,9.02,17,16.44,15.25,17.98,14.88,14.25,20.01,18.04,19.97,20.07,19.76,18.32,18.14,11.35,12.71,16.74,15.52,15.73,17.52,15.11,14.14,14.2,14.73,13.91,14.67,15.63,15.32,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,17.07,21.47,22.93,24.63,22.77,22.64,17.61,18.1,16.71,19.23,14.63,14.08,14.33,15.07,12.58,14.57,17.27,23.56,19.28,18.4,24.08,26.89,29.75,28.64,28.93,33.67,40.43,31.54,32.1,27.01,28.91,31.47,31.85
Costa Rica,21.42,21.78,23.59,22.88,25.26,23.47,25.13,25.45,28.4,27.14,28.22,27.25,30.67,31.12,33.53,30.06,28.91,30.87,28.18,26.92,26.48,43.27,45.08,29.92,29,27.12,27.03,26.68,29.35,30.27,30.22,33.56,35.22,35.77,35.56,37.56,39.31,40.75,47.44,51.74,48.62,41.48,42.39,46.67,46.26,48.5,49.13,48.71,45.44,42.28,38.17,37.43,37.67
South Asia (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean small states,48.64,53.15,51.88,52.11,52.5,52.12,43.59,42.93,43.97,44.38,42.47,43.07,41.4,42.51,51.34,47.79,46.11,51.34,53.31,54.4,57.68,53.13,46.42,44.61,49.91,49.85,48.25,47.17,45.42,48.17,49.95,48.33,51.9,48.74,49.33,51.99,49.21,47.92,47.57,48.62,51.62,48.18,42.62,44.47,46.92,49.86,56.36,50.69,53.49,209.77,45.27,55.47,
Cuba,,,,,,,,,,,32.63,32.63,32.63,32.62,32.61,32.64,32.63,32.63,32.61,32.56,32.75,32.58,32.64,32.53,32.31,33.71,31.73,32.9,32.03,31.16,30.24,21.93,16.92,13.19,13.24,13.4,15.31,14.92,14.25,14.54,14.13,13.24,11.53,12.95,16.02,21.02,18.71,20.34,20.57,17.14,22.16,19.96,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,35.49,49.75,47.81,42.33,44.68,45.26,50.25,50.92,50.41,54.66,48.74,45.04,47.29,48.08,51.46,51.5,47.09,49.46,47.49,47.69,50.01,50.77,51.83,49.79,51.75,55.36,55.99,50.75,46.97,47.78,48.32,48,47.94,45.44,40.27,40.11,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.37,45.95,47.66,47.76,44.36,48.08,46.51,49.77,52.25,53.33,60.93,62.62,57.64,59.09,62.98,64.43,66.97,68.22,64.45,58.95,66.58,72.89,78.03
Germany,,,,,,,,,,,16.43,15.81,15.8,16.68,19.81,18.58,19.63,19.53,19.15,19.36,20.22,21.87,22.67,22.04,23.59,24.91,23.12,22.46,22.9,24.22,24.8,25.7,24.01,21.99,22.83,23.74,24.8,27.4,28.58,29.4,33.38,34.79,35.67,35.72,38.55,41.32,45.51,47.17,48.15,42.46,47.64,50.63,51.79
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.84,53.84,44.55,43.98,41.93,39.14,38.52,38.83,40.45,37.32,35.06,37.3,38.57,39.91,36.97,40.62,39.89,57.09,,,,,
Dominica,,,,,,,,,,,,,,,,,,41.24,42.72,28.01,22,34.57,41.23,41.15,35.62,36.54,53.33,53.23,54.64,47.14,54.54,51.16,51.98,48.56,49.06,49.81,51.34,55.8,58.66,58.57,44.54,36.64,37.67,34.74,35.55,35.77,37.78,35.31,35.12,32.54,35.98,34.36,40.09
Denmark,32.31,30,28.62,30.4,29.85,29.3,28.55,27.34,27.66,27.55,28.04,27.79,27.37,28.74,31.9,30.2,29.01,29.05,28.06,29.74,33.21,37.08,36.88,36.89,37.33,37.45,33.05,32.4,34.31,36.18,37.15,38.54,37.85,37.37,37.69,37.53,37.83,38.73,38.17,40.66,46.51,47.19,47.19,45.3,45.32,48.99,52.07,52.22,54.73,47.64,50.44,53.67,54.8
Dominican Republic,25.59,23.25,23.87,20.73,19.7,16.3,16.34,18.08,18.49,18.48,17.23,16.47,20.67,21.88,24.94,27.72,20.89,20.01,17.34,20.64,19.17,20.82,14.34,14.41,28.21,28.15,24.36,25.56,33.02,33.47,33.83,40.12,37.07,36.74,36.71,35.77,35.2,36.22,35.83,36.57,37.05,33.73,32.48,43.08,42.33,30.03,29.99,28.78,25.49,22.25,23.03,25.05,24.88
